Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.00484,0.00738,0.00018,0.00102,0.00102,0.00070,0.00139,0.00029,0.00000,0.00004,0.00000,0.00009,0.00000,0.00252,0.00207,0.00490,0.00077,0.00064,,0.00840,,0.00082,0.00057,,,153.68132,55940,10284,tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.5.41-50.tess,364,
0.00700,0.00665,0.00020,0.00088,0.00088,0.00051,0.00132,0.00029,0.00002,0.00002,0.00000,0.00015,0.00000,0.00257,0.00250,0.00459,0.00088,0.00090,,0.00791,,0.00125,0.00044,,,155.15385,54459,10188,tesserae/texts/la/augustine.epistulae_selections/augustine.epistulae_selections.part.6.51-62.tess,351,
0.00024,0.00343,0.00012,0.00071,0.00071,0.00019,0.00046,0.00027,0.00000,0.00000,0.00001,0.00044,0.00012,0.00050,0.00040,0.00343,0.00025,0.00049,,0.00596,,0.00041,0.00074,,,137.89024,67842,10979,tesserae/texts/la/aurelius_victor.de_caesaribus.tess,492,
0.00002,0.00434,0.00024,0.00093,0.00093,0.00019,0.00036,0.00026,0.00002,0.00000,0.00002,0.00029,0.00003,0.00123,0.00034,0.00441,0.00070,0.00099,,0.00400,,0.00046,0.00057,,,108.20408,58322,9562,tesserae/texts/la/aurelius_victor.epitome_de_caesaribus.tess,539,
0.00246,0.00299,0.00011,0.00053,0.00053,0.00064,0.00053,0.00032,0.00000,0.00000,0.00000,0.00000,0.00011,0.00160,0.00107,0.00417,0.00096,0.00075,,0.00299,,0.00043,0.00043,,,126.41892,9355,1639,tesserae/texts/la/ausonius.cento_nuptialis.tess,74,
0.00607,0.00131,0.00000,0.00000,0.00000,0.00007,0.00013,0.00007,0.00000,0.00000,0.00000,0.00033,0.00000,0.00150,0.00085,0.00196,0.00033,0.00020,,0.00581,,0.00020,0.00000,,,144.52830,15320,2748,tesserae/texts/la/ausonius.commemoratio_professorum_burdigalensium.tess,106,
0.00000,0.00337,0.00026,0.00026,0.00026,0.00052,0.00078,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00104,0.00000,0.00337,0.00000,0.00026,,0.00311,,0.00000,0.00026,,,167.56522,3854,648,tesserae/texts/la/ausonius.cupido_cruciatus.tess,23,
0.00380,0.00427,0.00000,0.00047,0.00047,0.00047,0.00142,0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00190,0.00142,0.00190,0.00000,0.00047,,0.00712,,0.00047,0.00000,,,140.53333,2108,394,tesserae/texts/la/ausonius.de_bissula.tess,15,
0.00539,0.00385,0.00000,0.00077,0.00077,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00154,0.00077,0.00308,0.00000,0.00077,,0.00770,,0.00000,0.00000,,,108.16667,1298,262,tesserae/texts/la/ausonius.de_herediolo.tess,12,
0.00180,0.00260,0.00000,0.00060,0.00060,0.00020,0.00000,0.00020,0.00000,0.00000,0.00000,0.00020,0.00000,0.00060,0.00020,0.00160,0.00060,0.00020,,0.00640,,0.00020,0.00020,,,89.28571,5000,930,tesserae/texts/la/ausonius.de_xii_caesaribus.tess,56,
0.00104,0.00202,0.00006,0.00067,0.00067,0.00012,0.00018,0.00006,0.00000,0.00000,0.00000,0.00018,0.00000,0.00073,0.00110,0.00196,0.00147,0.00018,,0.00428,,0.00037,0.00006,,,92.87500,16346,2967,tesserae/texts/la/ausonius.eclogarum_liber.tess,176,
0.00426,0.00151,0.00000,0.00000,0.00000,0.00000,0.00069,0.00027,0.00000,0.00014,0.00000,0.00055,0.00000,0.00055,0.00151,0.00233,0.00096,0.00014,,0.00673,,0.00096,0.00027,,,134.83333,7281,1361,tesserae/texts/la/ausonius.ephemeris_id_est_totius_diei_negotium.tess,54,
0.00651,0.00362,0.00000,0.00036,0.00036,0.00072,0.00145,0.00072,0.00000,0.00000,0.00000,0.00000,0.00000,0.00109,0.00109,0.00217,0.00000,0.00000,,0.00398,,0.00000,0.00000,,,120.17391,2764,514,tesserae/texts/la/ausonius.epicedion_in_patrem.tess,23,
